erId	pkrgId	name	romDesc	shortDesc	wiredAttrs
1	1	Stench	Attacks gain +10% flinch chance. Chance is rolled separately on multi-hit attacks. Toxic Terrain turns do not decrease while the user is present.	10% chance to flinch targets. Toxic terrain is permanent.	PostAttackApplyBattlerTagAbAttr
2	2	Drizzle	Drizzle summons rain weather when the Pokemon enters battle, lasting 8 turns (12 with Damp Rock held). Rain boosts Water moves by 50% and cuts Fire damage by 50%. Certain moves and abilities have special interactions with rain. Cannot override primal weather conditions.	Summons rain on entry. Lasts 8 turns.	ErWeatherSummonAbAttr,ErBiomeChangeWeatherAbAttr,AiMovegenMoveStatsAbAttr
3	3	Speed Boost	User's Speed increases by one stage at end of each full turn they remain on the field. Doesn't activate on the turn the user is switched in.	Raises own Speed by one stage after every turn.	SpeedBoostAbAttr
4	4	Battle Armor	Incoming damage is reduced by 20% (x0.8), multiplicative with other damage reduction. Additionally, critical hits are blocked, functioning as regular hits and not activating on-crit effects like To The Bone's bleed.	Immune to critical hits. Takes 20% less damage from attacks.	BlockCritAbAttr,ReceivedMoveDamageMultiplierAbAttr
5	5	Sturdy	When at full HP, this Pokemon will survive any single attack with at least 1 HP remaining. This functions like a Focus Sash, and so does not protect against multihit attacks or follow-up attacks (e.g. Aftershock, Thundercall).	At full HP, cannot be KO in one hit, stays at 1 HP instead.	PreDefendFullHpEndureAbAttr,BlockOneHitKOAbAttr
6	6	Damp	If the user makes contact with another Pokemon, offensively or defensively, the other Pokemon's type is changed to pure Water. This happens immediately for multihit or priority moves and can remove STAB in the middle of an enemy's multihit move.	Makes foe Water-type on contact. Also works on offense.	FieldPreventExplosiveMovesAbAttr,AiMovegenMoveStatsAbAttr
7	7	Limber	All recoil damage to the user is halved; this includes moves with scaling recoil damage like Brave Bird, moves with crash damage like Jump Kick, or moves with fixed recoil like Steel Beam. Paralysis also cannot affect the user, and if they gain Limber, existing paralysis is cured.	Para immune, takes half recoil, immune to self stat drops.	StatusEffectImmunityAbAttr,PostSummonHealStatusAbAttr,ProtectStatAbAttr,RecoilDamageMultiplierAbAttr
8	8	Sand Veil	During sandstorm, enemy Pokemon's accuracy is divided by 1.25, and user is immune to sand damage. Bypassed by No Guard/Mold Breaker.	Evasion is boosted by 1.25x while a sandstorm is active.	StatMultiplierAbAttr,BlockWeatherDamageAttr
9	9	static.name	Has a chance to paralyze when attacking or when hit by a move. Has a 10% chance to paralyze on non-contact attacks and a 30% chance to paralyze on contact attacks.	30% chance to paralyze on contact, 10% on non-contact.	PostDefendContactApplyStatusEffectAbAttr,ChanceStatusOnHitAbAttr
10	10	Volt Absorb	This Pokemon absorbs Electric- type moves completely, converting them into energy that restores 25% of its maximum HP. Provides complete immunity to Electric damage and effects like paralysis from Thunder Wave. Absolutely perfect for Water/Flying types to remove their 4x Electric weakness.	Heals 25% of max HP when hit by an Electric-type move.	TypeImmunityHealAbAttr
11	11	Water Absorb	The user gains immunity to Water-type moves and they heal for 25% of their max HP when hit by them.	Heals 25% of max HP when hit by a Water-type move.	TypeImmunityHealAbAttr
12	12	Oblivious	This Pokemon is immune to infatuation, Scare, Intimidate and Taunt. When gaining this ability while afflicted by any of the mentioned statuses, instantly cures them.	Immune to infatuation, Scare, Intimidate and Taunt.	BattlerTagImmunityAbAttr,PostSummonRemoveBattlerTagAbAttr,IntimidateImmunityAbAttr
